Assembly	pilon_corrected_durian
# contigs (>= 0 bp)	958
# contigs (>= 1000 bp)	958
# contigs (>= 5000 bp)	891
# contigs (>= 10000 bp)	689
# contigs (>= 25000 bp)	190
# contigs (>= 50000 bp)	92
Total length (>= 0 bp)	38819902
Total length (>= 1000 bp)	38819902
Total length (>= 5000 bp)	38601995
Total length (>= 10000 bp)	37011904
Total length (>= 25000 bp)	29076103
Total length (>= 50000 bp)	25992690
# contigs	958
Largest contig	1194735
Total length	38819902
GC (%)	31.08
N50	260019
N75	24943
L50	40
L75	192
# N's per 100 kbp	0.00
